Topic,Question,Option A,Option B,Option C,Option D,Correct Option,Answer
Introduction to Prompt Engineering,What is prompt engineering in the context of AI?,Designing physical prompts for robots,Developing questions or instructions to guide AI responses,Engineering AI hardware,Creating software interfaces for AI,b,Developing questions or instructions to guide AI responses
Introduction to Prompt Engineering,Which AI model is most associated with prompt engineering?,Convolutional Neural Networks,Generative Adversarial Networks,Transformer-based models,Recurrent Neural Networks,c,Transformer-based models
Introduction to Prompt Engineering,What is a key benefit of effective prompt engineering?,Reduces the need for data preprocessing,Enhances the accuracy and relevance of AI outputs,Increases the speed of neural network training,Simplifies the development of AI hardware,b,Enhances the accuracy and relevance of AI outputs
Introduction to Prompt Engineering,Which of the following is NOT a primary goal of prompt engineering?,Maximizing the model's performance on specific tasks,Ensuring the prompt is understandable by humans,Improving the interpretability of AI models,Customizing AI behavior for different use cases,c,Improving the interpretability of AI models
Introduction to Prompt Engineering,Prompt engineering primarily involves which stage of AI development?,Data collection,Model training,Input formulation and interaction,Hardware design,c,Input formulation and interaction
Introduction to Prompt Engineering,Which term best describes a well-crafted prompt in AI?,Ambiguous,Concise,Complex,Generic,b,Concise
Introduction to Prompt Engineering,In prompt engineering what is a 'few-shot' prompt?,A prompt with multiple irrelevant examples,A prompt with several high-quality examples,A prompt with no examples,A prompt with a single example,b,A prompt with several high-quality examples
Introduction to Prompt Engineering,What is the primary challenge in prompt engineering?,Selecting the right programming language,Balancing prompt length and clarity,Designing AI hardware,Choosing the appropriate dataset,b,Balancing prompt length and clarity
Introduction to Prompt Engineering,What does the term 'zero-shot learning' refer to in prompt engineering?,Using no training data for the model,Designing prompts without any examples,Training the model on irrelevant data,Using very large datasets for training,b,Designing prompts without any examples
Introduction to Prompt Engineering,Which of the following tools is often used in prompt engineering?,TensorFlow,GPT-3,OpenCV,Hadoop,b,GPT-3
Introduction to Prompt Engineering,What is the role of context in prompt engineering?,It helps the model understand the task better,It reduces the computational requirements,It is irrelevant to prompt effectiveness,It simplifies model architecture,a,It helps the model understand the task better
Introduction to Prompt Engineering,How does prompt engineering contribute to ethical AI?,By ensuring AI models are energy-efficient,By making AI outputs more interpretable and reliable,By reducing the need for large datasets,By automating the design of AI models,b,By making AI outputs more interpretable and reliable
Introduction to Prompt Engineering,Which is an example of a poorly designed prompt?,Translate the following text: Hello.,What is the capital of France?,Explain the theory of relativity in one sentence.,Generate a 500-word essay on the impacts of climate change on agriculture.,d,Generate a 500-word essay on the impacts of climate change on agriculture.
Introduction to Prompt Engineering,What is one way to improve a prompt for better AI performance?,Make it longer and more detailed,Use complex language and jargon,Provide clear and specific instructions,Avoid giving any examples,c,Provide clear and specific instructions
Introduction to Prompt Engineering,Which of the following is a benefit of using templates in prompt engineering?,Increases the model's computational efficiency,Standardizes prompts for consistency and scalability,Makes the AI more creative,Eliminates the need for human oversight,b,Standardizes prompts for consistency and scalability
Introduction to Prompt Engineering,What is the 'context window' in prompt engineering?,The total number of prompts used in training,The sequence length the model can consider,The time taken to generate a response,The size of the training dataset,b,The sequence length the model can consider
Introduction to Prompt Engineering,What is one strategy for handling ambiguous prompts?,Increase the number of prompts,Use domain-specific terminology,Provide additional context or examples,Shorten the prompt length,c,Provide additional context or examples
Introduction to Prompt Engineering,How can prompt engineering help in model bias mitigation?,By eliminating biased training data,By framing questions in an unbiased manner,By reducing model size,By using more complex algorithms,b,By framing questions in an unbiased manner
Introduction to Prompt Engineering,Which industry is most likely to benefit from advanced prompt engineering?,Agriculture,Financial services,Construction,Textile manufacturing,b,Financial services
Introduction to Prompt Engineering,Why is iterative testing important in prompt engineering?,It helps in optimizing hardware,It ensures the AI outputs meet desired criteria,It reduces the overall project cost,It shortens the development timeline,b,It ensures the AI outputs meet desired criteria
Overview of AI & the Current Scenario,What does AI stand for?,Automatic Interface,Artificial Intelligence,Autonomous Integration,Advanced Information,b,Artificial Intelligence
Overview of AI & the Current Scenario,Which of the following is NOT a type of AI?,Narrow AI,General AI,Superintelligent AI,Semi-Supervised AI,d,Semi-Supervised AI
Overview of AI & the Current Scenario,What is the main goal of AI research?,To create machines that can think and learn like humans,To develop faster computers,To reduce energy consumption in data centers,To improve internet connectivity,a,To create machines that can think and learn like humans
Overview of AI & the Current Scenario,Which AI technology is used for understanding and generating human language?,Computer Vision,Natural Language Processing (NLP),Reinforcement Learning,Neural Networks,b,Natural Language Processing (NLP)
Overview of AI & the Current Scenario,What does the term 'machine learning' refer to?,Machines that learn to repair themselves,Algorithms that improve automatically through experience,Hardware that enhances its performance over time,Software that operates without human intervention,b,Algorithms that improve automatically through experience
Overview of AI & the Current Scenario,Which company developed the GPT-3 language model?,Google,Microsoft,OpenAI,IBM,c,OpenAI
Overview of AI & the Current Scenario,What is the significance of 'big data' in AI?,It reduces the complexity of algorithms,It provides a large volume of information for training AI models,It enhances the security of AI systems,It limits the scalability of AI applications,b,It provides a large volume of information for training AI models
Overview of AI & the Current Scenario,What is a common application of AI in everyday life?,Self-driving cars,Online banking,Video streaming,Social media posting,a,Self-driving cars
